material_id,formula_pretty,n_elements,contains_transition_metal,formation_energy_per_atom,energy_per_atom,band_gap,is_semiconductor,density,volume,elements
mp-695434,Li7Zr3Nb(TeO6)4,5,False,-0.5009840057612975,0.0642804388124872,0.4188798765538982,True,0.7592934548288486,1.3326051112130468,"['Li', 'Nb', 'O', 'Te', 'Zr']"
mp-1185222,Li3Eu,2,False,2.292397678229732,-1.170233172464394,-0.8682128617659177,False,-0.8558650593446901,-0.9028616600722046,"['Eu', 'Li']"
mp-976047,Li3Hg,2,False,1.846877183824163,-2.0745318114230176,-0.8682128617659177,False,1.109425978258219,-1.0418520600626868,"['Hg', 'Li']"
mp-775294,LiCr3P4O15,4,False,-0.6599216261980572,-0.2342431913696769,0.6415769156582105,True,-0.5087066453538998,2.141289108799244,"['Cr', 'Li', 'O', 'P']"
mp-1175903,Li9Mn2Co5O16,4,True,0.1479370895419637,0.2146310347824023,0.1276606715713358,True,0.2829482617410907,-0.4074219184490989,"['Co', 'Li', 'Mn', 'O']"
mp-757773,Li5V5O12,3,False,-0.4968173369693475,-0.1002422111040225,-0.8682128617659177,False,-0.111976891477243,0.0503746168873411,"['Li', 'O', 'V']"
mp-759768,Li3Fe8(BO3)8,4,True,-0.3056092082675777,-0.1995518682961384,0.0397735457709716,True,-0.368424174831494,0.1676387366678026,"['B', 'Fe', 'Li', 'O']"
mp-867160,LiCd2Au,3,False,1.7673193559414735,-4.75426036956924,-0.8682128617659177,False,4.075733866298816,-1.0292764403710564,"['Au', 'Cd', 'Li']"
mp-757926,Li3Co11O14,3,True,0.8623011310039983,0.1758916652467415,-0.8682128617659177,False,1.2937912780050966,-0.4847606276707436,"['Co', 'Li', 'O']"
mp-1097065,Li2HfN2,3,False,0.5964545269784404,-2.2605311920176865,0.4416980286299558,True,2.460275695016392,-1.0958757443831533,"['Hf', 'Li', 'N']"
mp-763305,Li8FeO6,3,True,0.0055291577948659,0.5067230840068344,-0.8682128617659177,False,-0.9487791093935476,-0.3854388700102786,"['Fe', 'Li', 'O']"
mp-753498,Li3V4(OF3)3,4,False,-1.102715555039631,0.1158889003743977,0.4159683616005726,True,-0.1257856370728235,-0.6410788570113362,"['F', 'Li', 'O', 'V']"
mp-850955,LiFeP3(H7O8)2,5,True,0.2284640955949833,0.3279527481346022,1.794604546824928,True,-1.0813488013907775,0.6753691600406778,"['Fe', 'H', 'Li', 'O', 'P']"
mp-759784,Li2Bi2P2O9,4,False,-0.4264452367905461,0.1310600943012271,1.5663553164142756,True,0.8767640324471894,-0.0295639911353028,"['Bi', 'Li', 'O', 'P']"
mp-1079483,LiAuF6,3,False,0.2310183173959695,0.9952336264095596,0.396129434127918,True,1.1875553757495092,-0.9622684323615162,"['Au', 'F', 'Li']"
mp-1096413,LiCuAg2,3,False,3.582041248093989,-1.5746546892951174,-0.3180042452375983,False,-2.1312525142837493,1.191923145274309,"['Ag', 'Cu', 'Li']"
mp-1175344,Li7Mn5O12,3,True,-0.1627992962273442,0.0626348907689509,-0.411917529894844,False,0.0623369718945025,-0.5953119297686638,"['Li', 'Mn', 'O']"
mp-764378,LiCo3Sb(PO4)6,5,True,-0.1174044330606167,0.0265295206939555,-0.8682128617659177,False,-0.2748720333176992,0.0187066872521726,"['Co', 'Li', 'O', 'P', 'Sb']"
mp-777566,LiVF4,3,False,-1.33413587087287,0.2851147391092104,0.6264776636909677,True,-0.2757519241962203,-0.4689329863606202,"['F', 'Li', 'V']"
mp-674420,Li2NiO3,3,True,0.4281392915501398,0.469708999775196,0.0834462700708444,True,0.3356325964402416,-0.6942567787414008,"['Li', 'Ni', 'O']"
